artwork_id,artist_name,title,exhibition_history,is_on_view,date,category_titles,artwork_type_title
243884,"Jacques de Gheyn II
Dutch 1565-1629","A Soldier Loading a Musket, ""Ramme in Your Pouder""","Rotterdam, Museum Boymans-van Beuningen, Jacques de Gheyn II Drawings, Dec. 13, 1985–Sept. 2, 1986, cat.17; also Washington D.C., The National Gallery of Art, Sept. 3–Nov. 5, 1986.

The Art Institute of Chicago, ""Rubens, Rembrandt, and Drawing in the Golden Age"", September 28, 2019 - January 5, 2020, pp. 212, 213 (ill.), 214-15, 279, 298, 331, cat. 76, cat. by Victoria Sancho Lobis, et. al.

The Art Institute of Chicago, ""Pure Drawing: Seven Centuries of Art from the Gray Collection"", January 25 - May 10, 2020, p. 48-49, cat. 19, p. 115, fig. 19.1, p. 133, GC 27, traveled to Berkeley, CA, August 4 - November 28, 2021.",False,1596/98,Prints and Drawings,Drawing and Watercolor
65032,"Olga de Amaral (Colombian, born 1932)
Bogotá, Columbia",Alquimia III (Alchemy III),"Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, Gift, Bequest and Purchase: A Selection of Textile Acquisitions from 1982–1987, Mar. 18–Aug. 14, 1989.

Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, Twenty Years of Textile Society Collecting (1978–1998), Dec. 20, 1997–Mar. 22, 1998.",True,1983,Textiles,Textile
269504,"María Dávila (Venezuelan, born 1966)
Eduardo Portillo (Venezuelan, born 1966)",White Dwarf,"Savannah, GA, Indigo and Beyond, Cross Currents: Land, Labor, and the Port, Oct 19-23, 2016 (organized by the Textile Society of America for its 15th Biennial conference symposium exhibition). 

Albuquerque, NM, Albuquerque Museum, Indelible Blue: Indigo Around the World, Jan. 8- Apr. 24, 2022. https://www.cabq.gov/artsculture/albuquerque-museum/past-exhibits/indelible-blue.",True,2016,Textiles,Textile
258964,"David Goldblatt
South African, 1930-2018","At Geel, near Nietverdiend, Marico Bushveld, Transvaal (North-West Province), December 1964",,False,1964,Photography and Media,Photograph
95425,Armenia,Fragment,,False,16th century,Textiles,Textile
45322,"Pablo Picasso (Spanish, 1881-1973)
printed by Fernand Mourlot (French, 1895–1988)",Paloma and Her Doll on a Black Background,,True,"December 14, 1952",Prints and Drawings,Print
234462,"Jim Nutt
American, born 1938",Wowidow,,False,1968,Contemporary Art,Painting
184107,"Ellen Gallagher
American, born 1965",Untitled,,False,1999,Contemporary Art,Painting
151364,"Jackson Pollock
American, 1912-1956",Untitled,"London, Marlborough Fine Art, “Jackson Pollock,” June 1961, cat. 26, as “Painting, c. 1938.”

Kunstverein für die Rheinlande und Westfalen, Düsseldorf Kunsthalle, “Jackson Pollock,” Sept. 5–Oct. 8, 1961, cat. 35, as “Painting, c. 1938.”

Kunsthaus Zürich, “Jackson Pollock,” Oct. 24–Nov. 29, 1961, cat. 35, as “Painting, c. 1938.” 

Rome, Marlborough Galleria d’Arte, “Jackson Pollock,” Oct.–Nov. 1962; Milan, Toninelli Arte Moderna, Nov.–Dec. 1962, cat. 18, as “Painting, c. 1938.

Stockholm, Moderna Museet, “Jackson Pollock,” Feb. 27–Apr. 15, 1963, cat. 35, as “Painting, 1938.”

New York, Marlborough-Gerson Gallery, “Jackson Pollock,” Jan. 14–Feb. 15, 1964, cat. 40, as “Painting, c. 1938.”

East Hampton, NY, Guild Hall Museum, “Krasner/Pollock: A Working Relationship,” Aug. 8–Oct. 4, 1981; New York, Grey Art Gallery and Study Center, New York University, Nov. 3–Dec. 12, 1981, cat. 20, as “Composition with Donkey Head.”

Munich, ACA Gallery, “Jackson Pollock,” Sept. 1993, cat. 1, as “Composition with Donkey Head.”

Kunsthalle Düsseldorf, “Siqueiros/Pollock, Pollock/Siqueiros,” Sept. 30–Dec. 3, 1995, no cat. no., as “Composition with Donkey Head.”

Houston, Museum of Fine Arts, “Jackson Pollock: Defining the Heroic,” Mar. 2–June 30, 1996, cat. 5. 

New York, Joan T. Washburn Gallery, “Pollock, Orozco and Siqueiros,” Jan. 21–Feb. 28, 1998.

Chicago, Art Institute of Chicago, America after the Fall: Painting in the 1930s, June 5–Sept. 18, 2016; Paris, Établissement public du musée d‘Orsay et du musée de l‘Orangerie, Oct. 11, 2016–Jan. 30, 2017; London, Royal Academy of Arts, Feb. 25–June 4, 2017.

Shanghai Museum, Pathways to Modernism: American Art, 1865–1945, Sept. 28, 2018–Jan. 6, 2019.

New York, Whitney Museum of American art, Vida Americana: Mexican Muralists Remake American Art, 1925-1945, Feb. 17-May 17, 2020, cat. 109; San Antonio, McNay Art Museum, June 25-Oct. 4, 2020 (extended at the Whitney until Jan. 31, 2021 due to the COVID-19 pandemic. McNay Art Museum portion of the tour was canceled.",True,c. 1938–41,Contemporary Art,Painting
109886,"Karl Wirsum
American, 1939-2021",Screamin' Jay Hawkins,,False,1968,Contemporary Art,Painting
